Actual_Train,Predicted_Train
4.31,1.7362134
3.18,1.9767982
3.87,2.3403168
6.21,2.458225
2.06,1.3107641
3.29,3.671642
2.42,3.8871772
2.0,1.1724168
2.75,1.6689987
1.97,1.2872998
1.17,1.1872655
1.95,1.0768341
1.12,1.0610744
1.28,1.3536682
1.23,1.1724776
1.92,1.1503583
1.36,1.5520087
1.2,1.8044088
0.96,1.2213706
1.29,2.0559437
2.39,1.6661848
3.63,1.7888819
1.97,1.5861324
1.87,1.3178228
4.03,3.6195247
2.06,1.4717954
1.09,0.86440414
1.27,1.9080555
1.06,0.92095035
1.34,0.9832136
1.18,1.1826684
1.87,1.1904012
2.87,2.2920609
1.78,1.0613508
4.17,1.930928
1.9,1.384681
1.18,1.1486644
1.77,1.5615813
2.63,1.5621985
6.82,3.6555636
1.0,1.2213305
3.87,3.7970884
2.54,1.0476663
3.78,2.2038612
1.11,1.1990337
1.04,0.89291567
2.7,1.0426348
1.11,1.3434099
3.12,3.6424859
1.19,1.1829742
1.18,2.1895823
2.17,1.0125312
