Actual_Train,Predicted_Train
0.18,0.10528824
0.13,-0.055582434
12.2,3.6118608
15.16,5.572477
0.39,3.9505906
19.83,9.385188
15.68,1.4406186
0.18,0.194755
10.13,2.0682395
0.2,0.13041678
0.2,0.47501516
2.77,8.610602
0.21,1.2794253
0.21,0.12486176
0.21,1.7337271
0.21,2.0921588
0.2,0.07628262
0.21,4.909925
0.16,3.8171625
21.88,7.4525743
0.16,-0.03492263
0.16,-0.061945453
0.18,0.05592699
0.21,0.6032424
8.68,6.724481
0.19,0.08832034
0.21,0.09331383
0.22,4.8518043
0.2,2.2169323
0.19,1.1107087
0.21,2.9452147
0.2,0.60405874
0.79,3.6488657
1.71,7.8905888
5.33,3.855224
0.21,2.2908707
0.2,3.6504266
0.19,0.092280105
0.21,2.6331496
1.28,5.2046766
0.2,0.13888349
10.72,1.3459692
4.12,8.459754
1.96,4.7509465
0.2,3.0516887
0.2,2.5596814
3.6,8.9807
0.21,0.39398792
18.35,9.004088
0.21,2.9418411
22.14,8.379585
0.21,3.2109509
