Actual_Train,Predicted_Train
31.23,29.168617
30.27,29.300972
30.31,29.033314
27.51,28.69709
31.06,28.340677
26.88,26.463661
26.43,24.165075
30.45,30.07008
30.87,29.249292
31.72,29.728657
31.0,29.984282
26.19,22.611952
30.89,28.92111
31.06,28.642326
30.89,29.32809
30.94,28.56996
30.83,29.25479
30.0,28.76078
26.37,22.928553
27.61,28.19978
30.47,29.588675
30.76,30.06141
30.2,29.587927
31.75,29.759615
27.55,22.798784
30.39,29.19411
30.54,29.613623
30.89,29.046913
30.18,29.43912
31.27,29.315145
30.28,28.941454
30.72,28.947445
29.66,28.913435
25.53,22.681265
29.95,28.684504
31.47,27.965336
30.16,28.467539
32.81,29.398819
31.37,27.80981
26.43,22.89696
30.62,29.490929
27.42,23.487455
24.98,22.56262
29.42,28.854553
30.56,28.736422
30.22,29.168867
24.76,22.567917
30.81,28.800364
26.63,26.500097
30.17,28.951887
27.6,28.205528
31.32,27.645552
