Actual_Train,Predicted_Train
11.33,12.310299
18.66,11.773335
9.67,7.9474306
15.97,7.785701
22.99,7.561005
54.84,20.105143
11.99,20.501724
21.2,10.912401
6.97,7.4769015
10.26,11.661753
8.68,10.622617
25.13,23.245655
15.49,14.409406
15.09,11.033673
11.89,10.310115
16.64,13.4244375
9.94,11.996572
14.24,7.659713
19.59,21.381151
3.27,7.2493634
3.07,11.247687
15.73,11.450969
18.33,11.35442
8.36,10.39115
18.05,21.436255
16.84,12.359674
16.09,10.513392
10.13,7.762149
9.64,7.7181697
10.99,11.193102
9.32,7.4845734
11.66,11.442132
5.34,8.125656
39.01,23.015846
9.42,7.493821
12.53,14.425504
13.25,7.1702294
28.65,12.680169
18.0,15.276309
17.3,21.015188
10.72,11.830761
18.37,20.831638
21.25,23.229925
11.7,6.81251
10.88,8.673595
9.31,7.5149374
37.23,23.375849
11.87,9.750803
30.34,19.96807
10.17,7.4840403
3.25,6.7498064
18.8,12.996838
