Actual_Train,Predicted_Train
0.74,0.67371804
1.77,2.0317426
1.89,2.0652921
1.52,1.2647899
1.21,1.0940565
0.84,0.80049044
5.19,1.9064716
1.42,0.8000129
0.82,0.7559014
0.78,0.7793278
3.84,0.7130124
1.91,0.99004525
0.56,0.65154874
0.71,0.63536406
1.42,1.0339582
1.18,0.9524568
2.13,0.9466005
2.99,1.2248201
0.71,0.82104635
1.11,0.9122098
1.03,1.053599
3.66,1.4046326
0.78,0.9942694
0.96,1.1151382
0.71,0.69454855
2.19,1.0224252
1.52,0.83799386
0.72,0.6752539
0.72,0.6437047
1.37,1.004693
2.25,1.4669149
1.08,0.7197374
0.82,0.9155366
1.75,2.0636654
2.28,1.010672
0.85,0.76482683
3.13,1.0794772
3.07,1.871065
0.91,0.8048539
1.25,1.9527194
1.15,1.0567842
5.56,1.9423995
1.8,1.0176882
0.72,0.9071472
2.13,0.9466005
0.8,0.83732563
0.86,0.91746837
0.87,0.8929748
0.7,1.2983032
1.85,0.98724824
0.83,0.73071337
1.26,1.1160676
0.91,0.746933
0.7,0.7039197
0.77,0.92385167
0.86,0.71762425
0.96,0.89380103
0.7,0.649109
2.15,1.0079298
0.85,0.9079091
0.68,0.6612473
0.86,0.7994443
1.64,1.1122419
0.8,0.7093065
0.7,0.6609527
0.81,0.897378
0.8,0.76425475
1.38,0.9397224
1.57,1.1543363
0.79,0.9685041
1.36,0.93800384
3.41,0.9790595
2.97,1.8923513
2.33,1.0363488
2.81,2.1946661
0.95,0.74571365
0.77,0.7795531
0.73,0.80344194
0.89,0.81751126
1.04,0.74794424
0.8,0.82150203
3.0,1.3593296
0.72,0.6533535
0.72,0.67117685
3.02,1.6349534
0.75,0.8934761
3.35,0.9844269
1.12,0.69683653
