Actual_Train,Predicted_Train
0.14,0.3494113
0.44,1.3920987
0.28,1.5004027
5.01,3.4625595
20.23,10.704078
0.14,0.31978017
2.38,4.5521274
13.34,0.5123945
0.14,0.30614102
0.13,0.33491266
2.14,1.0613637
11.4,3.2592752
0.13,0.68269557
0.14,0.3809089
7.06,6.99877
0.15,3.429097
1.11,4.0747294
7.64,2.326537
0.13,3.1350229
0.2,2.6422966
13.45,8.5882015
3.37,3.9771128
0.13,5.775619
13.2,10.169551
0.14,0.32842374
0.42,7.464955
2.08,1.8399055
0.14,0.35739446
0.14,0.3827247
16.58,7.7517314
0.22,2.7866805
0.14,0.34144664
0.13,0.791049
0.22,1.3720348
1.9,0.7613252
0.14,0.67676836
7.43,10.020044
15.23,3.4182918
0.14,0.33033526
0.4,1.3591956
20.05,8.9858
2.15,4.3588953
10.49,7.8891535
0.14,0.8306924
1.11,4.0747294
0.14,2.5445762
0.13,0.792596
0.13,0.44444728
0.13,2.5273292
1.11,7.9903784
0.13,1.0361382
21.66,11.194881
0.14,0.34483898
0.13,0.89737314
0.13,4.705285
0.14,0.8498015
1.8,2.3473756
0.13,0.6239896
13.45,8.314173
0.13,0.6115358
0.13,0.74012065
0.14,0.31342468
12.31,3.9014728
0.13,1.0345778
0.13,0.68209827
0.13,3.896053
0.13,1.3360628
1.29,4.7141776
8.62,2.7709808
0.13,5.075953
2.15,6.677812
16.11,6.907382
5.02,4.3815656
4.38,8.523104
0.14,1.6184808
0.14,0.30160874
0.13,1.1889414
0.14,0.3167268
0.14,0.31747854
0.14,0.33312044
0.13,2.1190276
1.22,2.1040168
0.13,0.6801431
0.14,0.3841402
7.74,3.1437871
0.13,0.5735883
10.69,3.3586562
0.28,1.0568466
