Actual_Train,Predicted_Train
15.0,16.085478
24.39,25.556273
23.32,25.68612
18.44,22.174824
20.94,18.567423
16.78,15.335485
22.71,24.391973
20.66,16.627642
17.46,17.066683
16.72,15.965719
23.83,19.569416
19.28,20.98775
15.28,15.451508
15.49,15.8725395
20.44,18.348497
19.39,18.41956
19.94,17.340986
19.88,18.750574
15.89,16.15168
19.15,18.346855
18.72,18.111292
23.04,22.321789
15.44,18.395134
18.69,18.336437
15.06,16.397865
20.58,17.811121
19.78,17.385635
15.0,16.0628
15.72,15.716215
20.67,17.9376
24.8,21.912409
18.41,17.49887
15.5,15.648869
24.61,25.733677
24.1,20.649113
17.89,17.105156
21.59,17.957546
25.37,23.832602
17.11,15.42248
24.39,25.024288
19.92,17.544106
25.32,24.571175
18.51,18.251566
17.31,17.633533
19.94,17.340986
15.06,16.68975
15.55,15.828272
15.51,15.630247
14.5,21.518509
20.9,17.788511
15.61,15.701172
20.89,19.77081
16.62,16.37964
15.35,15.425789
15.68,16.818382
16.85,17.242188
19.39,17.739109
15.39,15.380531
20.89,20.049131
16.44,15.929281
15.16,15.452516
17.39,15.32922
19.44,21.332699
15.86,16.316296
15.06,15.402923
16.9,16.88456
15.67,16.752861
18.4,17.966125
19.02,20.209543
15.67,19.022564
19.94,16.894287
19.08,17.646484
25.65,24.859459
19.28,18.001472
23.56,26.464725
17.52,16.306667
15.56,16.562923
17.61,15.382234
17.44,16.994328
17.69,16.309067
15.67,16.635717
24.66,22.505976
16.18,15.405951
15.7,16.022905
26.03,23.701782
15.48,15.590064
18.56,15.322661
20.67,17.171803
