Actual_Train,Predicted_Train
49.38,46.015602
20.9,16.32541
15.96,16.606604
27.59,33.846962
6.56,20.846483
20.91,41.89915
17.37,24.956875
10.46,41.60785
43.71,43.836533
62.63,62.56198
11.98,30.916262
15.15,32.23666
47.89,45.399937
50.95,49.323895
10.45,27.015158
22.45,35.22406
23.22,30.203444
33.45,50.902237
50.89,47.78058
20.68,39.527664
11.58,22.347641
6.42,27.179806
64.87,43.455788
10.81,21.845533
47.4,46.682983
13.37,23.038038
25.04,43.740376
46.88,46.457787
48.25,49.400406
26.8,24.114494
50.83,24.390528
35.04,45.7063
60.97,54.72058
12.95,16.424856
13.69,26.76097
27.41,49.749565
30.33,21.338137
16.2,20.587084
21.0,41.929787
15.77,16.561893
9.88,22.714151
24.54,24.6299
34.76,26.048624
35.31,43.927086
23.22,30.203444
40.76,56.46711
64.82,54.20407
63.99,53.32168
46.78,28.066996
22.02,23.630983
68.06,49.289787
1.26,19.288986
34.47,41.132774
58.98,45.22267
62.67,48.509933
43.99,45.99923
36.33,40.19271
37.74,45.305992
29.27,22.223066
63.42,53.08383
46.54,45.23982
18.13,41.89179
14.57,32.326298
72.82,44.024765
41.9,45.222744
34.86,48.435844
65.45,47.296146
46.2,32.603333
37.83,37.66766
68.02,46.754025
10.28,27.005205
29.62,35.303017
15.92,22.108635
21.68,21.504614
13.11,16.431473
43.37,42.582233
65.73,58.553017
18.9,42.35659
36.63,45.163017
28.99,41.401867
59.08,46.372643
28.48,29.66601
23.06,46.142715
50.13,49.33132
16.33,22.646532
62.42,50.661095
36.06,59.19727
12.55,46.20969
